Fecha,Casos,Casos_Acum,Muertes,Muertes_Acum,Recuperados,Recuperados_Acum
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,1,1,0,0,0,0
2020-03-20,0,1,0,0,0,0
2020-03-21,0,1,0,0,0,0
2020-03-22,0,1,0,0,0,0
2020-03-23,0,1,0,0,0,0
2020-03-24,1,2,0,0,0,0
2020-03-25,2,4,0,0,0,0
2020-03-26,4,8,0,0,0,0
2020-03-27,0,8,0,0,0,0
2020-03-28,2,10,0,0,0,0
2020-03-29,3,13,0,2,0,0
2020-03-30,1,14,1,3,0,0
2020-03-31,2,16,0,3,0,0
2020-04-01,0,16,0,3,0,0
2020-04-02,3,19,1,4,0,0
2020-04-03,1,20,1,5,0,0
2020-04-04,3,23,0,5,0,0
2020-04-05,9,32,0,5,0,0
2020-04-06,5,37,2,7,0,0
2020-04-07,2,39,0,7,0,0
2020-04-08,18,57,0,7,0,0
2020-04-09,0,57,0,7,0,0
2020-04-10,2,59,0,7,0,0
2020-04-11,6,65,1,8,0,0
2020-04-12,8,73,2,10,0,0
2020-04-13,7,80,1,11,0,0
2020-04-14,11,91,0,11,1,1
2020-04-15,10,101,0,11,0,1
2020-04-16,19,120,1,12,0,1
2020-04-17,0,120,0,12,5,6
2020-04-18,6,126,0,12,0,6
2020-04-19,7,133,0,12,0,6
2020-04-20,1,134,0,12,0,6
2020-04-21,3,137,0,12,0,0
2020-04-22,3,140,1,13,0,9
2020-04-23,10,150,0,13,4,13
2020-04-24,5,155,1,14,0,0
2020-04-25,4,159,1,15,0,16
2020-04-26,9,168,0,15,0,16
2020-04-27,17,185,0,15,3,19
2020-04-28,3,188,0,15,7,26
2020-04-29,14,202,0,15,1,27
2020-04-30,16,218,0,15,0,0
2020-05-01,3,221,0,15,0,27
2020-05-02,15,236,0,15,7,34
2020-05-03,5,241,0,15,4,38
2020-05-04,2,243,0,15,7,45
2020-05-05,10,253,1,16,1,46
2020-05-06,7,260,0,16,3,49
2020-05-07,11,271,0,16,0,49
2020-05-08,23,294,0,16,6,55
2020-05-09,7,301,0,16,8,63
2020-05-10,8,309,0,16,4,67
2020-05-11,4,313,0,16,1,68
2020-05-12,3,316,1,17,8,76
2020-05-13,3,319,2,19,17,93
2020-05-14,3,322,0,19,8,101
2020-05-15,6,328,0,19,22,123
2020-05-16,5,333,0,19,34,157
2020-05-17,2,335,0,19,9,166
2020-05-18,7,342,1,20,5,171
2020-05-19,13,355,1,21,3,174
2020-05-20,8,363,0,21,6,180
2020-05-21,12,375,1,22,1,181
2020-05-22,6,381,1,23,3,184
2020-05-23,5,386,1,24,17,201
2020-05-24,8,394,0,24,8,209
2020-05-25,9,403,0,24,1,210
2020-05-26,7,410,0,24,9,219
2020-05-27,5,415,0,24,9,228
2020-05-28,8,423,2,26,6,234
2020-05-29,21,444,1,27,3,237
2020-05-30,34,478,1,28,5,242
2020-05-31,29,507,0,28,2,244
2020-06-01,48,555,3,31,4,248
2020-06-02,59,614,1,32,1,249
2020-06-03,21,635,3,35,2,251
2020-06-04,26,661,1,36,3,254
2020-06-05,31,692,2,38,9,263
2020-06-06,45,737,0,38,6,269
2020-06-07,17,754,0,38,3,272
2020-06-08,22,776,0,38,0,272
2020-06-09,28,804,0,38,4,276
2020-06-10,38,842,2,40,9,285
2020-06-11,90,932,2,42,4,289
2020-06-12,51,983,1,43,2,291
2020-06-13,81,1064,2,45,13,304
2020-06-14,85,1149,4,49,10,314
2020-06-15,64,1213,1,50,8,322
2020-06-16,41,1254,0,50,0,322
2020-06-17,44,1298,1,51,2,324
2020-06-18,88,1386,2,53,6,330
2020-06-19,83,1469,1,54,2,332
2020-06-20,76,1545,1,55,0,332
2020-06-21,235,1780,8,63,13,345
2020-06-22,138,1918,0,63,6,351
2020-06-23,48,1966,1,64,0,351
2020-06-24,195,2161,1,65,9,360
2020-06-25,212,2373,3,68,5,365
2020-06-26,207,2580,1,69,3,368
2020-06-27,194,2774,5,74,8,376
2020-06-28,108,2882,2,76,6,382
2020-06-29,85,2967,6,82,6,388
2020-06-30,62,3029,0,82,3,391
2020-07-01,212,3241,2,84,3,394
2020-07-02,156,3397,9,93,0,394
2020-07-03,237,3634,0,93,2,396
2020-07-04,238,3872,7,100,4,400
2020-07-05,333,4205,7,107,11,411
2020-07-06,480,4685,0,107,7,418
2020-07-07,191,4876,2,109,7,425
2020-07-08,275,5151,1,110,5,430
2020-07-09,225,5376,4,114,3,433
2020-07-10,328,5704,2,116,31,464
2020-07-11,662,6366,11,127,32,496
2020-07-12,337,6703,4,131,37,533
2020-07-13,421,7124,2,133,28,561
2020-07-14,278,7402,1,134,33,594
2020-07-15,260,7662,5,139,31,625
2020-07-16,314,7976,6,145,11,636
2020-07-17,233,8209,10,155,68,704
2020-07-18,713,8922,2,157,38,742
2020-07-19,733,9655,5,162,55,797
2020-07-20,535,10190,7,169,24,821
2020-07-21,431,10621,1,170,11,832
2020-07-22,788,11409,0,170,29,861
2020-07-23,534,11943,9,179,20,881
2020-07-24,330,12273,22,201,26,907
2020-07-25,1098,13371,17,218,41,948
2020-07-26,409,13780,1,219,29,977
2020-07-27,623,14403,7,226,9,986
2020-07-28,215,14618,1,227,38,1024
2020-07-29,364,14982,28,255,36,1060
2020-07-30,613,15595,16,271,26,1086
2020-07-31,356,15951,12,283,7,1093
2020-08-01,474,16425,20,303,24,1117
2020-08-02,398,16823,9,312,18,1135
2020-08-03,876,17699,1,313,0,1135
2020-08-04,416,18115,21,334,26,1161
2020-08-05,909,19024,0,334,79,1240
2020-08-06,551,19575,16,350,62,1302
2020-08-07,906,20481,6,356,39,1341
2020-08-08,624,21105,9,365,63,1404
2020-08-09,501,21606,10,375,81,1485
2020-08-10,716,22322,7,382,52,1537
2020-08-11,586,22908,4,386,14,1551
2020-08-12,813,23721,19,405,128,1679
2020-08-13,424,24145,12,417,24,1703
2020-08-14,457,24602,12,429,36,1739
2020-08-15,520,25122,24,453,107,1846
2020-08-16,654,25776,15,468,170,2016
2020-08-17,276,26052,15,483,69,2085
2020-08-18,243,26295,8,491,149,2234
2020-08-19,805,27100,16,507,147,2381
2020-08-20,206,27306,14,521,63,2444
2020-08-21,465,27771,14,535,153,2597
2020-08-22,214,27985,20,555,702,3299
2020-08-23,343,28328,24,579,685,3984
2020-08-24,607,28935,17,596,796,4780
2020-08-25,214,29149,22,618,826,5606
2020-08-26,349,29498,23,641,241,5847
2020-08-27,353,29851,18,659,846,6693
2020-08-28,498,30349,19,678,931,7624
2020-08-29,329,30678,15,693,920,8544
2020-08-30,220,30898,0,693,847,9391
2020-08-31,101,30999,22,715,961,10352
2020-09-01,40,31039,33,748,850,11202
2020-09-02,85,31124,55,803,1058,12260
2020-09-03,108,31232,55,858,1016,13276
2020-09-04,214,31446,11,869,1113,14389
2020-09-05,279,31725,18,887,1066,15455
2020-09-06,164,31889,6,893,1219,16674
2020-09-07,272,32161,0,893,1080,17754
2020-09-08,107,32268,0,893,1198,18952
2020-09-09,297,32565,0,893,1199,20151
2020-09-10,232,32797,0,893,1212,21363
2020-09-11,153,32950,10,903,741,22104
2020-09-12,132,33082,10,913,788,22892
2020-09-13,214,33296,11,924,771,23663
2020-09-14,323,33619,8,932,127,23790
2020-09-15,112,33731,9,941,255,24045
2020-09-16,73,33804,10,951,121,24166
2020-09-17,38,33842,8,959,88,24254
2020-09-18,33,33875,4,963,94,24348
2020-09-19,94,33969,6,969,49,24397
2020-09-20,34,34003,4,973,33,24430
2020-09-21,27,34030,4,977,43,24473
2020-09-22,37,34067,4,981,128,24601
2020-09-23,24,34091,4,985,68,24669
2020-09-24,45,34136,5,990,57,24726
2020-09-25,45,34181,5,995,137,24863
2020-09-26,52,34233,4,999,125,24988
2020-09-27,29,34262,4,1003,91,25079
2020-09-28,17,34279,3,1006,125,25204
2020-09-29,3,34282,2,1008,153,25357
2020-09-30,29,34311,6,1014,171,25528
2020-10-01,40,34351,7,1021,169,25697
2020-10-02,40,34391,7,1028,118,25815
2020-10-03,28,34419,5,1033,117,25932
2020-10-04,14,34433,3,1036,131,26063
2020-10-05,16,34449,3,1039,86,26149
2020-10-06,0,34449,0,1039,0,26149
2020-10-07,49,34498,9,1048,208,26357
2020-10-08,22,34520,6,1054,146,26503
2020-10-09,47,34567,7,1061,121,26624
2020-10-10,30,34597,8,1069,88,26712
2020-10-11,8,34605,1,1070,51,26763
2020-10-12,2,34607,1,1071,159,26922
2020-10-13,19,34626,5,1076,101,27023
2020-10-14,12,34638,5,1081,80,27103
2020-10-15,36,34674,7,1088,122,27225
2020-10-16,27,34701,5,1093,102,27327
2020-10-17,11,34712,3,1096,59,27386
2020-10-18,9,34721,2,1098,126,27512
2020-10-19,6,34727,2,1100,95,27607
2020-10-20,9,34736,2,1102,81,27688
2020-10-21,30,34766,4,1106,139,27827
2020-10-22,11,34777,2,1108,118,27945
2020-10-23,19,34796,3,1111,142,28087
2020-10-24,29,34825,1,1112,149,28236
2020-10-25,13,34838,2,1114,70,28306
2020-10-26,2,34840,1,1115,111,28417
2020-10-27,29,34869,4,1119,136,28553
2020-10-28,29,34898,4,1123,136,28689
2020-10-29,18,34916,1,1124,75,28764
2020-10-30,46,34962,2,1126,101,28865
2020-10-31,15,34977,1,1127,78,28943
2020-11-01,18,34995,1,1128,116,29059
2020-11-02,0,34995,1,1129,80,29139
2020-11-03,5,35000,1,1130,79,29218
2020-11-04,10,35010,1,1131,81,29299
2020-11-05,38,35048,2,1133,179,29478
2020-11-06,13,35061,2,1135,167,29645
2020-11-07,14,35075,1,1136,110,29755
2020-11-08,11,35086,0,1136,116,29871
2020-11-09,2,35088,0,1136,166,30037
2020-11-10,21,35109,1,1137,155,30192
2020-11-11,6,35115,0,1137,135,30327
2020-11-12,8,35123,0,1137,176,30503
2020-11-13,59,35182,2,1139,98,30601
2020-11-14,36,35218,3,1142,97,30698
2020-11-15,19,35237,2,1144,236,30837
2020-11-16,34,35271,3,1147,101,30938
2020-11-17,15,35286,3,1150,107,31045
2020-11-18,21,35307,3,1153,159,31204
2020-11-19,62,35369,4,1157,147,31351
2020-11-20,14,35383,3,1160,117,31468
2020-11-21,6,35389,0,1160,89,31557
2020-11-22,24,35413,1,1161,96,31653
2020-11-23,1,35414,1,1162,64,31717
2020-11-24,7,35421,2,1164,77,31794
2020-11-25,16,35437,2,1166,127,31921
2020-11-26,10,35447,1,1167,139,32060
2020-11-27,19,35466,1,1168,105,32165
2020-11-28,23,35489,2,1170,134,32299
2020-11-29,5,35494,2,1172,102,32401
2020-11-30,3,35497,1,1173,98,32499
2020-12-01,7,35504,1,1174,309,32808
2020-12-02,15,35519,0,1174,153,32961
2020-12-03,45,35564,3,1177,102,33063
2020-12-04,30,35594,1,1178,97,33160
2020-12-05,32,35626,1,1179,85,33245
2020-12-06,20,35646,1,1180,38,33283
2020-12-07,3,35649,0,1180,40,33323
2020-12-08,21,35670,0,1180,53,33376
2020-12-09,15,35685,0,1180,23,33399
2020-12-10,87,35772,2,1182,51,33450
2020-12-11,66,35838,2,1184,58,33508
