Fecha,Casos,Casos_Acum,Muertes ,Muertes_Acum,Recuperados,Recuperados_Acum
2020-03-10,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0
2020-03-29,0,1,0,0,0,0
2020-03-30,0,1,0,0,0,0
2020-03-31,0,1,0,0,0,0
2020-04-01,3,4,0,0,0,0
2020-04-02,2,6,0,0,0,0
2020-04-03,0,6,0,0,0,0
2020-04-04,0,6,0,0,0,0
2020-04-05,0,6,0,0,0,0
2020-04-06,0,6,0,0,0,0
2020-04-07,4,10,0,0,0,0
2020-04-08,0,10,0,0,0,0
2020-04-09,0,10,0,0,0,0
2020-04-10,0,10,0,0,0,0
2020-04-11,1,11,0,0,0,0
2020-04-12,0,11,0,0,0,0
2020-04-13,0,11,0,0,0,0
2020-04-14,0,11,0,0,0,0
2020-04-15,0,11,0,0,0,0
2020-04-16,0,11,0,0,0,0
2020-04-17,1,12,0,0,0,0
2020-04-18,0,12,0,1,0,0
2020-04-19,0,12,1,1,0,0
2020-04-20,0,12,0,1,0,0
2020-04-21,0,12,0,1,0,0
2020-04-22,0,12,0,1,0,0
2020-04-23,0,12,0,1,6,6
2020-04-24,0,12,0,1,0,0
2020-04-25,0,12,0,1,0,6
2020-04-26,0,12,0,1,0,6
2020-04-27,0,12,0,1,0,6
2020-04-28,0,12,0,1,0,6
2020-04-29,0,12,0,1,0,6
2020-04-30,0,12,0,1,0,0
2020-05-01,0,12,0,1,0,6
2020-05-02,0,12,0,1,0,6
2020-05-03,0,12,0,1,0,6
2020-05-04,0,12,0,1,0,6
2020-05-05,0,12,0,1,0,6
2020-05-06,0,12,0,1,0,6
2020-05-07,0,12,0,1,0,6
2020-05-08,0,12,0,1,1,7
2020-05-09,0,12,0,1,0,7
2020-05-10,0,12,0,1,0,7
2020-05-11,0,12,0,1,0,7
2020-05-12,0,12,0,1,0,7
2020-05-13,0,12,0,1,0,7
2020-05-14,0,12,0,1,0,7
2020-05-15,0,12,0,1,0,7
2020-05-16,0,12,0,1,0,7
2020-05-17,0,12,0,1,0,7
2020-05-18,0,12,0,1,0,7
2020-05-19,0,12,0,1,0,7
2020-05-20,0,12,0,1,0,7
2020-05-21,0,12,0,1,0,7
2020-05-22,0,12,0,1,0,7
2020-05-23,0,12,0,1,0,7
2020-05-24,1,13,0,1,0,7
2020-05-25,0,13,0,1,0,7
2020-05-26,0,13,0,1,0,7
2020-05-27,0,13,0,1,0,7
2020-05-28,0,13,0,1,0,7
2020-05-29,1,14,0,1,4,11
2020-05-30,0,14,0,1,0,11
2020-05-31,0,14,0,1,0,11
2020-06-01,0,14,0,1,0,11
2020-06-02,0,14,0,1,0,11
2020-06-03,9,23,1,2,0,11
2020-06-04,0,23,0,2,0,11
2020-06-05,0,23,0,2,0,11
2020-06-06,24,47,0,2,0,11
2020-06-07,18,65,1,3,1,12
2020-06-08,0,65,0,3,0,12
2020-06-09,29,94,1,4,0,12
2020-06-10,36,130,0,4,0,12
2020-06-11,45,175,2,6,0,12
2020-06-12,63,238,0,6,0,12
2020-06-13,29,267,0,6,0,12
2020-06-14,19,286,0,6,0,12
2020-06-15,21,307,0,6,0,12
2020-06-16,8,315,2,8,0,12
2020-06-17,71,386,3,11,0,12
2020-06-18,23,409,1,12,1,13
2020-06-19,16,425,0,12,0,13
2020-06-20,51,476,0,12,1,14
2020-06-21,6,482,0,12,0,14
2020-06-22,14,496,4,16,0,14
2020-06-23,9,505,0,16,0,14
2020-06-24,2,507,2,18,0,14
2020-06-25,6,513,2,20,0,14
2020-06-26,49,562,2,22,0,14
2020-06-27,5,567,1,23,0,14
2020-06-28,0,567,2,25,0,14
2020-06-29,1,568,0,25,0,14
2020-06-30,0,568,2,27,0,14
2020-07-01,68,636,10,37,0,14
2020-07-02,77,713,10,47,0,14
2020-07-03,4,717,1,48,0,14
2020-07-04,91,808,5,53,0,14
2020-07-05,126,934,0,53,0,14
2020-07-06,72,1006,1,54,0,14
2020-07-07,20,1026,0,54,0,14
2020-07-08,0,1026,0,54,0,14
2020-07-09,0,1026,0,54,0,14
2020-07-10,0,1026,2,56,0,14
2020-07-11,0,1026,0,56,0,14
2020-07-12,19,1045,1,57,0,14
2020-07-13,0,1045,8,65,5,19
2020-07-14,0,1045,4,69,18,37
2020-07-15,0,1045,9,78,3,40
2020-07-16,0,1045,5,83,7,47
2020-07-17,12,1057,4,87,10,57
2020-07-18,121,1178,7,94,21,78
2020-07-19,26,1204,0,94,0,78
2020-07-20,8,1212,4,98,8,86
2020-07-21,1,1213,5,103,12,98
2020-07-22,87,1300,2,105,27,125
2020-07-23,11,1311,9,114,2,127
2020-07-24,51,1362,3,117,8,135
2020-07-25,3,1365,0,117,0,135
2020-07-26,2,1367,0,117,0,135
2020-07-27,6,1373,0,117,0,135
2020-07-28,2,1375,1,118,4,139
2020-07-29,23,1398,3,121,2,141
2020-07-30,9,1407,3,124,34,175
2020-07-31,12,1419,0,124,13,188
2020-08-01,9,1428,0,124,8,196
2020-08-02,0,1428,0,124,8,204
2020-08-03,3,1431,6,130,32,236
2020-08-04,28,1459,0,130,0,236
2020-08-05,36,1495,5,135,0,236
2020-08-06,22,1517,0,135,0,236
2020-08-07,32,1549,2,137,1,237
2020-08-08,38,1587,0,137,1,238
2020-08-09,35,1622,3,140,0,238
2020-08-10,34,1656,2,142,32,270
2020-08-11,54,1710,0,142,12,282
2020-08-12,56,1766,0,142,3,285
2020-08-13,38,1804,0,142,5,290
2020-08-14,48,1852,0,142,4,294
2020-08-15,58,1910,0,142,0,294
2020-08-16,49,1959,1,143,3,297
2020-08-17,9,1968,0,143,4,301
2020-08-18,53,2021,0,143,0,301
2020-08-19,53,2074,0,143,1,302
2020-08-20,55,2129,2,145,0,302
2020-08-21,79,2208,0,145,2,304
2020-08-22,22,2230,0,145,2,306
2020-08-23,2,2232,0,145,2,308
2020-08-24,9,2241,1,146,0,308
2020-08-25,22,2263,1,147,0,308
2020-08-26,20,2283,0,147,0,308
2020-08-27,14,2297,0,147,0,308
2020-08-28,11,2308,0,147,19,327
2020-08-29,7,2315,0,147,0,327
2020-08-30,2,2317,0,147,0,327
2020-08-31,3,2320,0,147,0,327
2020-09-01,12,2332,0,147,10,337
2020-09-02,3,2335,2,149,44,381
2020-09-03,5,2340,1,150,0,381
2020-09-04,7,2347,0,150,0,381
2020-09-05,3,2350,3,153,2,383
2020-09-06,3,2353,0,153,0,383
2020-09-07,2,2355,2,155,20,403
2020-09-08,2,2357,0,155,5,408
2020-09-09,1,2358,0,155,3,411
2020-09-10,0,2358,4,159,0,411
2020-09-11,0,2358,0,159,33,444
2020-09-12,0,2358,1,160,7,451
2020-09-13,0,2358,0,160,0,451
2020-09-14,0,2358,0,160,4,455
2020-09-15,0,2358,1,161,2,457
2020-09-16,2,2360,2,163,12,469
2020-09-17,0,2360,0,163,0,469
2020-09-18,1,2361,0,163,4,473
2020-09-19,0,2361,0,163,0,473
2020-09-20,0,2361,0,163,0,473
2020-09-21,0,2361,0,163,0,473
2020-09-22,1,2362,1,164,0,473
2020-09-23,0,2362,0,164,25,498
2020-09-24,1,2363,0,164,0,498
2020-09-25,0,2363,0,164,1,499
2020-09-26,0,2363,0,164,3,502
2020-09-27,1,2364,0,164,0,502
2020-09-28,1,2365,1,165,27,529
2020-09-29,1,2366,0,165,0,529
2020-09-30,1,2367,0,165,0,529
2020-10-01,1,2368,0,165,0,529
2020-10-02,0,2368,0,165,6,535
2020-10-03,0,2368,0,165,1,536
2020-10-04,0,2368,0,165,0,536
2020-10-05,0,2368,0,165,0,536
2020-10-06,1,2369,0,165,0,536
2020-10-07,0,2369,0,165,6,542
2020-10-08,0,2369,0,165,0,542
2020-10-09,0,2369,0,165,0,542
2020-10-10,0,2369,0,165,0,542
2020-10-11,0,2369,0,165,0,542
2020-10-12,0,2369,0,165,2,544
2020-10-13,0,2369,0,165,6,550
2020-10-14,2,2371,0,165,29,579
2020-10-15,0,2371,0,165,2,581
2020-10-16,0,2371,0,165,0,581
2020-10-17,0,2371,0,165,0,581
2020-10-18,0,2371,0,165,0,581
2020-10-19,0,2371,0,165,0,581
2020-10-20,2,2373,0,165,0,581
2020-10-21,0,2373,0,165,2,583
2020-10-22,0,2373,0,165,0,583
2020-10-23,0,2373,0,165,0,583
2020-10-24,0,2373,0,165,0,583
2020-10-25,1,2374,0,165,0,583
2020-10-26,0,2374,0,165,1,584
2020-10-27,0,2374,0,165,0,584
2020-10-28,0,2374,0,165,0,584
2020-10-29,1,2375,0,165,2,586
2020-10-30,1,2376,0,165,0,586
2020-10-31,0,2376,0,165,0,586
2020-11-01,0,2376,0,165,0,586
2020-11-02,0,2376,0,165,0,586
2020-11-03,1,2377,0,165,0,586
2020-11-04,1,2378,0,165,0,586
2020-11-05,0,2378,0,165,1,587
2020-11-06,3,2381,0,165,0,587
2020-11-07,3,2384,0,165,0,587
2020-11-08,0,2384,0,165,0,587
2020-11-09,0,2384,0,165,0,587
2020-11-10,0,2384,0,165,0,587
2020-11-11,1,2385,0,165,2,589
2020-11-12,0,2385,0,165,0,589
2020-11-13,4,2389,0,165,4,593
2020-11-14,3,2392,0,165,0,593
2020-11-15,0,2392,0,165,0,593
2020-11-16,0,2392,0,165,0,593
2020-11-17,1,2393,0,165,0,593
2020-11-18,0,2393,0,165,0,593
2020-11-19,1,2394,0,165,11,604
2020-11-20,0,2394,0,165,0,604
2020-11-21,0,2394,0,165,0,604
2020-11-22,0,2394,0,165,0,604
2020-11-23,0,2394,0,165,0,604
2020-11-24,1,2395,1,166,14,618
2020-11-25,1,2396,0,166,33,651
2020-11-26,4,2400,0,166,0,651
2020-11-27,1,2401,0,166,0,651
2020-11-28,1,2402,0,166,0,651
2020-11-29,0,2402,0,166,0,651
2020-11-30,1,2403,0,166,0,651
2020-12-01,1,2404,0,166,9,660
2020-12-02,1,2405,0,166,3,663
2020-12-03,0,2405,0,166,4,667
2020-12-04,2,2407,0,166,0,667
2020-12-05,6,2413,0,166,4,671
2020-12-06,0,2413,0,166,0,671
2020-12-07,0,2413,0,166,2,673
2020-12-08,0,2413,0,166,0,673
2020-12-09,3,2416,0,166,53,726
2020-12-10,5,2421,0,166,9,735
2020-12-11,7,2428,0,166,1,736
2020-12-12,6,2434,0,166,0,736
2020-12-13,1,2435,0,166,0,736
2020-12-14,1,2436,0,166,0,736
2020-12-15,2,2438,0,166,6,742
2020-12-16,5,2443,0,166,1,743
2020-12-17,12,2455,0,166,0,743
2020-12-18,5,2460,0,166,0,743
2020-12-19,9,2469,0,166,0,743
2020-12-20,11,2480,0,166,0,743
2020-12-21,1,2481,0,166,0,743
2020-12-22,9,2490,0,166,2,745
2020-12-23,11,2501,0,166,22,767
