Fecha ,Casos,Casos_Acum,Muertes,Muertes_Acum,Recuperados,Recuperados_Acum,Vacunados_Prim,Vacunados_Seg
2020-03-10,1,1,0,0,0,0,0,0
2020-03-11,1,2,0,0,0,0,0,0
2020-03-12,0,2,0,0,0,0,0,0
2020-03-13,0,2,0,0,0,0,0,0
2020-03-14,0,2,0,0,0,0,0,0
2020-03-15,1,3,0,0,0,0,0,0
2020-03-16,0,3,0,0,0,0,0,0
2020-03-17,1,4,0,0,0,0,0,0
2020-03-18,0,4,0,0,0,0,0,0
2020-03-19,1,5,0,0,0,0,0,0
2020-03-20,3,8,0,0,0,0,0,0
2020-03-21,1,9,0,0,0,0,0,0
2020-03-22,6,15,0,0,0,0,0,0
2020-03-23,1,16,0,0,0,0,0,0
2020-03-24,3,19,0,0,0,0,0,0
2020-03-25,5,24,0,0,0,0,0,0
2020-03-26,10,34,0,0,0,0,0,0
2020-03-27,8,42,0,0,0,0,0,0
2020-03-28,2,44,0,0,0,0,0,0
2020-03-29,8,52,0,1,0,0,0,0
2020-03-30,7,59,2,3,0,0,0,0
2020-03-31,5,64,1,4,0,0,0,0
2020-04-01,4,68,1,5,0,0,0,0
2020-04-02,2,70,0,5,0,0,0,0
2020-04-03,4,74,0,5,0,0,0,0
2020-04-04,15,89,0,5,0,0,0,0
2020-04-05,8,97,0,5,0,0,0,0
2020-04-06,3,100,0,5,0,0,0,0
2020-04-07,3,103,0,5,0,0,0,0
2020-04-08,24,127,3,8,1,1,0,0
2020-04-09,3,130,1,9,0,1,0,0
2020-04-10,4,134,0,9,0,1,0,0
2020-04-11,13,147,1,10,0,1,0,0
2020-04-12,16,163,0,10,0,1,0,0
2020-04-13,14,177,0,10,4,5,0,0
2020-04-14,13,190,0,10,0,5,0,0
2020-04-15,25,215,1,11,0,5,0,0
2020-04-16,3,218,1,12,5,10,0,0
2020-04-17,19,237,0,12,0,10,0,0
2020-04-18,18,255,0,12,0,10,0,0
2020-04-19,35,290,0,12,0,10,0,0
2020-04-20,27,317,0,12,0,10,0,0
2020-04-21,7,324,2,14,0,0,0,0
2020-04-22,47,371,2,16,0,14,0,0
2020-04-23,14,385,3,19,0,14,0,0
2020-04-24,61,446,0,19,0,0,0,0
2020-04-25,43,489,1,20,0,31,0,0
2020-04-26,36,525,2,22,4,35,0,0
2020-04-27,28,553,3,25,4,39,0,0
2020-04-28,34,587,2,27,5,44,0,0
2020-04-29,28,615,2,29,6,50,0,0
2020-04-30,41,656,3,32,0,0,0,0
2020-05-01,37,693,2,34,0,64,0,0
2020-05-02,113,806,4,38,0,64,0,0
2020-05-03,98,904,2,40,3,67,0,0
2020-05-04,75,979,4,44,1,68,0,0
2020-05-05,104,1083,2,46,0,68,0,0
2020-05-06,77,1160,4,50,0,68,0,0
2020-05-07,158,1318,2,52,12,80,0,0
2020-05-08,69,1387,1,53,0,80,0,0
2020-05-09,150,1537,3,56,7,87,0,0
2020-05-10,96,1633,3,59,5,92,0,0
2020-05-11,190,1823,1,60,19,111,0,0
2020-05-12,102,1925,4,64,6,117,0,0
2020-05-13,116,2041,8,72,8,125,0,0
2020-05-14,122,2163,4,76,2,127,0,0
2020-05-15,134,2297,7,83,48,175,0,0
2020-05-16,221,2518,1,84,0,175,0,0
2020-05-17,245,2763,3,87,11,186,0,0
2020-05-18,131,2894,1,88,1,187,0,0
2020-05-19,88,2982,7,95,21,208,0,0
2020-05-20,259,3241,2,97,11,219,0,0
2020-05-21,173,3414,10,107,6,225,0,0
2020-05-22,251,3665,4,111,2,227,0,0
2020-05-23,235,3900,6,117,17,244,0,0
2020-05-24,299,4199,6,123,4,248,0,0
2020-05-25,328,4527,5,128,10,258,0,0
2020-05-26,361,4888,7,135,15,273,0,0
2020-05-27,478,5366,3,138,3,276,0,0
2020-05-28,408,5774,6,144,43,319,0,0
2020-05-29,172,5946,2,146,4,323,0,0
2020-05-30,596,6542,3,149,125,448,0,0
2020-05-31,169,6711,0,149,93,541,0,0
2020-06-01,307,7018,15,164,147,688,0,0
2020-06-02,217,7235,20,184,155,843,0,0
2020-06-03,402,7637,5,189,205,1048,0,0
2020-06-04,315,7952,3,192,137,1185,0,0
2020-06-05,192,8144,2,194,68,1253,0,0
2020-06-06,412,8556,20,214,153,1406,0,0
2020-06-07,120,8676,7,221,174,1580,0,0
2020-06-08,135,8811,4,225,70,1650,0,0
2020-06-09,413,9224,6,231,23,1673,0,0
2020-06-10,370,9594,12,243,49,1722,0,0
2020-06-11,533,10127,7,250,97,1819,0,0
2020-06-12,409,10536,15,265,48,1867,0,0
2020-06-13,618,11154,5,270,318,2185,0,0
2020-06-14,270,11424,13,283,335,2520,0,0
2020-06-15,317,11741,4,287,304,2824,0,0
2020-06-16,625,12366,11,298,318,3142,0,0
2020-06-17,359,12725,5,303,237,3379,0,0
2020-06-18,263,12988,4,307,301,3680,0,0
2020-06-19,551,13539,6,313,339,4019,0,0
2020-06-20,626,14165,9,322,408,4427,0,0
