Fecha,Casos,Casos_Acum,Muertes,Muertes_Acum,Recuperados,Recuperados_Acum
2020-03-10,0,1,0,0,0,0
2020-03-11,0,1,0,0,0,0
2020-03-12,0,1,0,0,0,0
2020-03-13,6,7,0,0,0,0
2020-03-14,0,7,0,0,0,0
2020-03-15,0,7,0,0,0,0
2020-03-16,0,7,0,0,0,0
2020-03-17,0,7,0,0,0,0
2020-03-18,0,7,0,0,0,0
2020-03-19,1,8,0,0,0,0
2020-03-20,0,8,0,0,0,0
2020-03-21,0,8,0,0,0,0
2020-03-22,0,8,0,0,0,0
2020-03-23,0,8,0,0,0,0
2020-03-24,0,8,0,0,0,0
2020-03-25,0,8,0,0,0,0
2020-03-26,0,8,0,0,0,0
2020-03-27,0,8,0,0,0,0
2020-03-28,0,8,0,0,0,0
2020-03-29,0,8,0,0,0,0
2020-03-30,0,8,0,0,0,0
2020-03-31,0,8,0,0,0,0
2020-04-01,0,8,0,0,0,1
2020-04-02,0,8,0,0,0,1
2020-04-03,0,8,0,0,0,1
2020-04-04,0,8,0,0,0,1
2020-04-05,0,8,0,0,0,1
2020-04-06,0,8,0,0,0,1
2020-04-07,0,8,0,0,0,1
2020-04-08,0,8,0,0,0,1
2020-04-09,0,8,0,0,0,1
2020-04-10,1,9,1,1,0,1
2020-04-11,2,11,0,1,0,1
2020-04-12,2,13,1,2,0,1
2020-04-13,1,14,0,2,0,1
2020-04-14,16,30,0,2,0,1
2020-04-15,7,37,0,2,7,8
2020-04-16,1,38,0,2,0,8
2020-04-17,4,42,0,2,0,8
2020-04-18,3,45,0,2,0,8
2020-04-19,0,45,0,2,0,8
2020-04-20,4,49,0,2,0,8
2020-04-21,0,49,0,2,0,0
2020-04-22,10,59,0,2,0,8
2020-04-23,3,62,0,2,0,8
2020-04-24,3,65,0,2,0,0
2020-04-25,0,65,0,2,0,8
2020-04-26,14,79,2,4,2,10
2020-04-27,13,92,0,4,0,10
2020-04-28,0,92,0,4,0,10
2020-04-29,10,102,2,6,0,10
2020-04-30,0,102,0,6,0,0
2020-05-01,5,107,0,6,0,10
2020-05-02,4,111,0,6,18,28
2020-05-03,0,111,1,7,0,28
2020-05-04,0,111,0,7,0,28
2020-05-05,2,113,0,7,0,28
2020-05-06,0,113,0,7,8,36
2020-05-07,2,115,1,8,9,45
2020-05-08,1,116,0,8,3,48
2020-05-09,5,121,1,9,4,52
2020-05-10,3,124,0,9,5,57
2020-05-11,0,124,0,9,0,57
2020-05-12,4,128,0,9,0,57
2020-05-13,0,128,0,9,1,58
2020-05-14,4,132,0,9,7,65
2020-05-15,0,132,0,9,0,65
2020-05-16,1,133,0,9,1,66
2020-05-17,2,135,0,9,0,66
2020-05-18,2,137,0,9,4,70
2020-05-19,1,138,0,9,0,70
2020-05-20,0,138,1,10,0,70
2020-05-21,3,141,2,12,0,70
2020-05-22,2,143,1,13,0,70
2020-05-23,2,145,0,13,0,70
2020-05-24,5,150,0,13,2,72
2020-05-25,1,151,0,13,0,72
2020-05-26,2,153,0,13,0,72
2020-05-27,2,155,0,13,0,72
2020-05-28,4,159,0,13,0,72
2020-05-29,7,166,0,13,0,72
2020-05-30,24,190,1,14,1,73
2020-05-31,14,204,0,14,0,73
2020-06-01,6,210,0,14,0,73
2020-06-02,8,218,1,15,1,74
2020-06-03,4,222,1,16,0,74
